date,open,high,low,close
05-12-2023,"102.10","102.71","101.94","102.68"
05-11-2023,"101.41","102.15","101.30","102.06"
05-10-2023,"101.62","101.81","101.22","101.48"
05-09-2023,"101.40","101.84","101.36","101.61"
05-08-2023,"101.26","101.42","101.04","101.38"
05-05-2023,"101.34","101.78","101.12","101.21"
05-04-2023,"101.20","101.64","101.03","101.40"
05-03-2023,"101.86","101.92","101.07","101.34"
05-02-2023,"102.15","102.40","101.88","101.96"
05-01-2023,"101.67","102.19","101.62","102.15"
04-28-2023,"101.47","102.17","101.42","101.66"
04-27-2023,"101.40","101.80","101.28","101.50"
04-26-2023,"101.82","101.89","101.01","101.47"
04-25-2023,"101.26","101.95","101.20","101.86"
04-24-2023,"101.72","101.91","101.32","101.35"
04-21-2023,"101.80","102.12","101.65","101.82"
04-20-2023,"101.99","102.13","101.63","101.84"
04-19-2023,"101.71","102.23","101.66","101.97"
04-18-2023,"102.10","102.14","101.64","101.75"
04-17-2023,"101.57","102.23","101.53","102.10"
04-14-2023,"101.00","101.75","100.79","101.55"
04-13-2023,"101.47","101.60","100.85","101.01"
04-12-2023,"102.13","102.16","101.45","101.50"
04-11-2023,"102.52","102.52","102.01","102.20"
04-10-2023,"102.10","102.81","101.99","102.58"
04-07-2023,"101.94","102.30","101.88","102.09"
04-06-2023,"101.83","102.14","101.76","101.82"
04-05-2023,"101.52","101.99","101.42","101.85"
04-04-2023,"102.01","102.28","101.46","101.59"
04-03-2023,"102.63","103.06","101.98","102.09"
03-31-2023,"102.20","102.63","102.05","102.51"
03-30-2023,"102.62","102.78","102.07","102.14"
03-29-2023,"102.49","102.79","102.37","102.64"
03-28-2023,"102.75","102.76","102.38","102.43"
03-27-2023,"103.08","103.23","102.83","102.86"
03-24-2023,"102.60","103.36","102.50","103.12"
03-23-2023,"102.50","102.64","101.92","102.53"
03-22-2023,"103.20","103.27","102.07","102.35"
03-21-2023,"103.31","103.52","103.00","103.26"
03-20-2023,"103.66","103.96","103.28","103.28"
03-17-2023,"104.41","104.45","103.69","103.71"
03-16-2023,"104.62","104.74","104.20","104.42"
03-15-2023,"103.74","105.10","103.44","104.65"
03-14-2023,"103.67","104.05","103.50","103.60"
03-13-2023,"104.17","104.39","103.48","103.60"
03-10-2023,"105.13","105.35","104.04","104.58"
03-09-2023,"105.62","105.73","105.15","105.31"
03-08-2023,"105.67","105.88","105.37","105.66"
03-07-2023,"104.30","105.65","104.12","105.62"
03-06-2023,"104.53","104.69","104.16","104.35"
03-03-2023,"104.94","105.00","104.49","104.52"
03-02-2023,"104.39","105.18","104.39","105.03"
03-01-2023,"105.04","105.09","104.09","104.48"
02-28-2023,"104.63","105.00","104.42","104.87"
02-27-2023,"105.23","105.36","104.55","104.67"
02-24-2023,"104.56","105.32","104.42","105.21"
02-23-2023,"104.50","104.78","104.31","104.60"
02-22-2023,"104.13","104.60","104.01","104.59"
02-21-2023,"103.91","104.26","103.77","104.18"
02-20-2023,"103.91","104.09","103.76","103.88"
02-17-2023,"104.20","104.67","103.84","103.86"
02-16-2023,"103.88","104.23","103.53","103.86"
02-15-2023,"103.21","104.11","103.16","103.92"
02-14-2023,"103.22","103.52","102.59","103.23"
02-13-2023,"103.58","103.84","103.24","103.35"
02-10-2023,"103.26","103.68","102.90","103.63"
02-09-2023,"103.43","103.55","102.64","103.22"
02-08-2023,"103.27","103.52","103.00","103.41"
02-07-2023,"103.54","103.96","103.00","103.43"
02-06-2023,"102.99","103.77","103.01","103.62"
02-03-2023,"101.83","103.01","101.55","102.92"
02-02-2023,"100.85","101.91","100.82","101.75"
02-01-2023,"102.10","102.19","101.04","101.22"
01-31-2023,"102.19","102.61","102.01","102.10"
01-30-2023,"101.92","102.31","101.66","102.28"
01-27-2023,"101.72","102.19","101.68","101.93"
01-26-2023,"101.58","102.18","101.50","101.84"
01-25-2023,"102.01","102.12","101.58","101.64"
01-24-2023,"101.99","102.43","101.72","101.92"
01-23-2023,"101.99","102.28","101.59","102.14"
01-20-2023,"102.08","102.55","101.94","102.01"
01-19-2023,"102.38","102.48","101.99","102.06"
01-18-2023,"102.47","102.90","101.53","102.36"
01-17-2023,"102.32","102.56","101.94","102.39"
01-16-2023,"102.18","102.56","101.77","102.20"
01-13-2023,"102.21","102.65","101.99","102.20"
01-12-2023,"103.06","103.29","102.08","102.25"
01-11-2023,"103.22","103.48","103.11","103.19"
01-10-2023,"103.29","103.49","103.03","103.24"
01-09-2023,"103.91","103.94","102.94","103.00"
01-06-2023,"105.05","105.63","103.87","103.88"
01-05-2023,"104.07","105.27","103.99","105.04"
01-04-2023,"104.58","104.60","103.83","104.25"
01-03-2023,"103.66","104.86","103.47","104.52"
