date,open,high,low,close,tickvol,vol,spread
2023.08.16,0.64539,0.64806,0.64157,0.64225,79817,0,0
2023.08.17,0.64227,0.64506,0.63643,0.64031,91004,0,0
2023.08.18,0.64029,0.64289,0.63791,0.64025,73377,0,0
2023.08.21,0.64080,0.64214,0.63872,0.64129,67479,0,0
2023.08.22,0.64126,0.64579,0.64033,0.64225,69578,0,0
2023.08.23,0.64226,0.64815,0.64110,0.64795,68877,0,0
2023.08.24,0.64796,0.64882,0.64122,0.64160,67474,0,0
2023.08.25,0.64150,0.64413,0.63798,0.64019,82601,0,0
2023.08.28,0.64050,0.64395,0.64019,0.64279,53598,0,0
2023.08.29,0.64164,0.64868,0.64013,0.64788,73338,0,0
2023.08.30,0.64787,0.65221,0.64494,0.64739,75128,0,0
2023.08.31,0.64737,0.65079,0.64612,0.64831,73469,0,0
2023.09.01,0.64829,0.65217,0.64384,0.64444,92139,0,0
2023.09.04,0.64402,0.64806,0.64388,0.64593,37721,0,0
2023.09.05,0.64485,0.64646,0.63576,0.63772,86486,0,0
2023.09.06,0.63768,0.64047,0.63573,0.63803,78137,0,0
2023.09.07,0.63662,0.63950,0.63622,0.63749,65977,0,0
2023.09.08,0.63753,0.64148,0.63637,0.63760,59811,0,0
2023.09.11,0.63823,0.64495,0.63721,0.64307,65471,0,0
2023.09.12,0.64246,0.64400,0.64085,0.64244,49941,0,0
2023.09.13,0.64111,0.64342,0.63800,0.64200,72064,0,0
2023.09.14,0.64141,0.64598,0.64133,0.64384,82253,0,0
2023.09.15,0.64396,0.64735,0.64242,0.64282,57795,0,0
2023.09.18,0.64341,0.64491,0.64167,0.64354,47733,0,0
2023.09.19,0.64310,0.64739,0.64263,0.64520,50668,0,0
2023.09.20,0.64505,0.65112,0.64395,0.64471,66160,0,0
2023.09.21,0.64352,0.64558,0.63855,0.64142,63400,0,0
2023.09.22,0.64112,0.64652,0.64038,0.64401,49729,0,0
2023.09.25,0.64372,0.64467,0.64043,0.64220,35224,0,0
2023.09.26,0.64082,0.64305,0.63874,0.63957,43486,0,0
2023.09.27,0.63919,0.64092,0.63312,0.63512,46903,0,0
2023.09.28,0.63522,0.64323,0.63447,0.64256,57963,0,0
2023.09.29,0.64264,0.65010,0.64075,0.64297,56810,0,0
2023.10.02,0.64225,0.64451,0.63615,0.63629,49693,0,0
2023.10.03,0.63628,0.63672,0.62855,0.63003,69603,0,0
2023.10.04,0.63013,0.63423,0.62864,0.63234,67556,0,0
2023.10.05,0.63213,0.63777,0.63183,0.63686,71074,0,0
2023.10.06,0.63686,0.64003,0.63122,0.63835,90725,0,0
2023.10.09,0.63524,0.64147,0.63428,0.64105,69862,0,0
2023.10.10,0.64070,0.64330,0.63901,0.64300,81749,0,0
2023.10.11,0.64304,0.64453,0.63880,0.64125,80045,0,0
